Judul,Tanggal,Penulis,Isi,Link Lengkap
Kata Ganjar soal Nasaruddin Umar Mencuat Jadi Cawapresnya,2023-05-18 11:52:38,"['Https', 'Www.Facebook.Com Detikcom', 'Antara -']","Imam Besar Masjid Istiqlal, Nasaruddin Umar, mencuat sebagai pendamping bakal calon presiden dari PDIP, Ganjar Pranowo. Ganjar merespons isu Nasaruddin Umar menjadi cawapresnya di 2024.

""Saya sudah punya pendamping, Siti Atiqoh (istri Ganjar),"" kata Ganjar di Manado, seperti dilansir dari Antara, Kamis (18/5/2023).

Ganjar meminta semua pihak bersabar terkait sosok bakal cawapres yang mendampinginya di Pilpres 2024.

ADVERTISEMENT SCROLL TO RESUME CONTENT

Diketahui Ganjar tengah berkunjung ke Manado, Sulawesi Utara. Di sana, ia menikmati nasi kuning campur ikan roa merah.

Ketika disingung soal warna 'kuning' sebagai warga partai yang merapat mendukungnya pada pencalonan Pilpres 2024, Ganjar justru menjelaskan bahwa ia menikmati hidangan Manado itu.

""Nasi kuningnya, ya, pasti merapat. Campur roa dikit, roanya kan merah tadi,"" tutur Ganjar.

Di Manado, Ganjar mengisi kegiatan di hari libur Kenaikan Isa Almasih dengan berolahraga jalan kaki di Kompleks Mega Mas, yang terletak di tepi lautan, dengan mengenakan kaos hitam bertuliskan Red Me.

Saat berjalan, masyarakat sekitar langsung menghampiri Ganjar. Mereka berteriak memanggil nama 'Ganjar'.

Ganjar lalu didatangi oleh rekan sesama anggota partai, yakni Wali Kota Andrei Angouw, Wakil Wali kota Manado Richard Sualang, dan Bupati Minahasa Utara Joune Ganda. Turut hadir pula Ketua DPP PDI Perjuangan Said Abdullah, Gubernur Sulawesi Utara Olly Dondokambey, dan Menteri Pendayagunaan Aparatur Negara dan Reformasi (Menpan RB) Azwar Anas.

Setelah berolahraga, Ganjar rehat di kedai kopi. Ganjar menikmati hidangan lokal seperti bubur, jagung manis, dodol, dan nasi kuning.

""Kita mah cocok semua,"" ujar Ganjar ketika ditanya wartawan apakah hidangan Manado cocok bagi lidahnya.

Lihat juga Video 'PDIP Sebut 10 Bacawapres Ganjar Lebih Banyak dari NU, Siapa Saja?':



[Gambas:Video 20detik]





",https://news.detik.com/pemilu/d-6726464/kata-ganjar-soal-nasaruddin-umar-mencuat-jadi-cawapresnya
Anies Usai Bertemu Paloh: Kita Makin Yakin Keadilan Harus Ditegakkan,2023-05-18 11:43:50,"['Rumondang Naibaho', 'Https', 'Www.Facebook.Com Detikcom', 'Rumondang Naibaho -']","Anies Baswedan bicara soal keadilan usai bertemu Ketum NasDem Surya Paloh setelah penetapan tersangka Menkominfo yang juga Sekjen NasDem Johnny G Plate. Anies mengatakan keadilan harus ditegakkan.

Hal itu disampaikan Anies di NasDem Tower, Rabu (17/5) malam. Anies semula menyampaikan pertemuan dengan Surya Paloh. Dia menyinggung soal tantangan besar yang muncul setelah penetapan tersangka Johnny Plate.

""Di ruangan kita ngobrol, kita diskusi, kita menyampaikan dengan dekat, pribadi-pribadi yang tak bergeming, pribadi-pribadi yang teguh dalam sikap, memilih untuk menghadapi ini semua, cobaan, tantangan yang muncul atas konsekuensi-konsekuensi keputusan-keputusan dengan keyakinan bahwa Tuhan, Allah SWT, akan berpihak kepada kebenaran,"" ujar Anies.

ADVERTISEMENT SCROLL TO RESUME CONTENT

Anies mengatakan meski Johnny Plate ditetapkan sebagai tersangka korupsi di kasus BTS, langkah menuju Pilpres 2024 terus berjalan. Anies pun makin yakin kalau keadilan harus ditegakkan.

""Tidak ada sedikitpun yang berubah ikhtiar kita untuk bekerja menghadirkan keadilan, kesetaraan, menjaga persatuan, jalan terus. Tidak ada yang berubah, tidak ada yang bergeser, dan tidak ada yang melambat. Tadi kita sampaikan kita jalan terus sesuai dengan rencana dan kita kirimkan pesan kepada seluruh rakyat Indonesia,"" kata Anies.

""Justru karena besarnya tantangan ini, kita makin yakin bahwa keadilan harus ditegakkan di negeri ini, bahwa keadilan itulah yang bisa menjaga persatuan di negeri ini,"" sambunya dia.

Korupsi BTS Kominfo

Kasus korupsi ini terkait proyek penyediaan infrastruktur BTS 4G infrastruktur pendukung paket 1, 2, 3, 4, 5 Bakti Kominfo tahun 2020-2022. Kasus ini diduga merugikan negara mencapai Rp 8 triliun.

Kepala BPKP Muhammad Yusuf Ateh mengungkap hasil perhitungan jumlah kerugian keuangan negara tersebut diserahkan ke Kejaksaan Agung. Total kerugian negara sebesar Rp 8.032.084.133.795 (Rp 8 triliun).

""Berdasarkan semua yang kami lakukan dan berdasarkan bukti yang kami peroleh, kami telah menyampaikan kepada Pak Jaksa Agung kami menyimpulkan terdapat kerugian keuangan negara sebesar Rp 8.032.084.133.795 (triliun),"" kata Yusuf Ateh, dalam konferensi pers, Senin (15/5).

Kerugian keuangan negara tersebut terdiri atas tiga hal, yakni biaya kegiatan penyusunan kajian pendukung, mark up harga, dan pembayaran BTS yang belum terbangun. Dalam kasus ini telah ditetapkan enam tersangka.

1. AAL selaku Direktur Utama Bakti Kementerian Komunikasi dan Informatika

2. GMS selaku Direktur Utama PT Mora Telematika Indonesia

3. YS selaku Tenaga Ahli Human Development Universitas Indonesia Tahun 2020

4. MA selaku Account Director of Integrated Account Department PT Huawei Tech Investment

5. IH selaku Komisaris PT Solitech Media Sinergy

6. Johnny G Plate selaku Menkominfo

Simak Video 'Anies-Paloh Kompak soal Intervensi Politik Kasus Johnny: Semoga Tak Benar':



[Gambas:Video 20detik]





",https://news.detik.com/pemilu/d-6726440/anies-usai-bertemu-paloh-kita-makin-yakin-keadilan-harus-ditegakkan
Penjelasan Lengkap TNI Tepis Hoax Video Panglima Deklarasi Dukung Anies,2023-05-18 12:06:16,"['Tim Detikcom', 'Https', 'Www.Facebook.Com Detikcom', 'Tim Detikcom -']","Beredar sebuah video yang dinarasikan Panglima TNI Laksamana Yudo Margono tengah memimpin ribuan personel TNI mendukung Anies Baswedan sebagai Presiden 2024. TNI menegaskan video tersebut hoaks.

""Video berjudul 'di pimpin langsung panglima yudo Margono !!' dipastikan merupakan informasi bohong atau hoaks,"" kata Kabidpenum Puspen TNI Kolonel Sus Aidil dalam keterangan tertulis, Kamis (18/5/2023).

Aidil menjelaskan informasi yang termuat dalam video berdurasi delapan menit itu direkayasa seolah-oleh Panglima TNI mendeklarasikan Anies sebagai Presiden 2024. Padahal peristiwa itu terjadi dalam waktu dan tempat berbeda.

ADVERTISEMENT SCROLL TO RESUME CONTENT

Adapun kegiatan olahraga Anies Baswedan berlangsung di Kopassus pada 9 November 2019 saat beliau menjabat Gubernur DKI Jakarta. Sementara itu, video Laksamana Yudo Margono merupakan kegiatan apel gelar pasukan kesiapsiagaan TNI Angkatan Laut di JICT Tanjung Priok pada 23 November 2020.

""Seragam Panglima TNI seharusnya menggunakan loreng baret hitam dan emblem Mabes TNI segi lima. Sementara dalam video tersebut, tampak Laksamana Yudo dengan seragam loreng baret biru dan emblem logo TNI AL. Bisa dipastikan, video tersebut saat beliau masih menjabat KSAL,"" tegasnya.

Terdapat pula narasi yang seakan-akan disampaikan seorang prajurit TNI AD berpangkat kolonel. Kolonel tersebut memakai masker sehingga tidak terlihat gerak mulutnya.

""Dipastikan kalimat yang diucapkan bukan dari mulut kolonel tersebut. Penyuntingan (editing) yang dilakukan oleh editor Menara Istana membuat kolonel tersebut seolah-olah mengucapkan yang dinarasikan,"" ujarnya.

Puspen TNI lantas menyayangkan beredarnya video serta berita bohong di media sosial. Puspen TNI berharap masyarakat bisa lebih jeli dalam mencerna berita. Puspen TNI juga meminta agar pihak yang mempublikasikan video tersebut menyampaikan permohonan maaf di hadapan publik.

Berikut penyataan lengkap Puspen TNI terhadap video tersebut:

1. Puspen TNI menyatakan dengan pasti bahwa video 'di pimpin langsung panglima yudo Margono !! ribuan TNI resmi deklarasikan Anies presiden 2024' adalah tidak benar atau hoaks.

2. Video tersebut menggabungkan tiga peristiwa di tempat dan waktu yang berbeda, yaitu kegiatan Laksamana Yudo Margono beserta prajurit TNI AL dari Korps Marinir di JICT Tanjung Priok, video prajurit TNI AD, serta video kegiatan Anies Baswedan di Kopassus.

3. TNI meminta kepada pihak MI (Menara Istana) selaku pemilik produk video segera menjelaskan kepada publik dan menyampaikan permohonan maaf kepada TNI dan publik. TNI juga meminta Menara Istana menghapus video tersebut.

4. TNI berharap masyarakat lebih jeli dan hati-hati dalam mengkonsumsi informasi yang beredar di semua jenis media, termasuk media sosial.

5. Semua prajurit TNI netral dalam pemilu.

Lihat juga Video 'Fakta-fakta Prajurit TNI Tabrak Lansia hingga Tewas di Bekasi':



[Gambas:Video 20detik]





",https://news.detik.com/berita/d-6726472/penjelasan-lengkap-tni-tepis-hoax-video-panglima-deklarasi-dukung-anies
"Heboh Dokter Ribut di Karen's Diner Bali, Manajemen Buka Suara",2023-05-18 12:17:32,"['Tim Detikcom', 'Https', 'Www.Facebook.Com Detikcom', 'Tim Detikcom -']","Seorang dokter inisial TK terlibat keributan di restoran Karen's Diner Bali. Keributan itu melibatkan staf dari Karen's Diner.

Dilansir detikBali, Rabu (18/5/2023), keributan itu terjadi pada Minggu (14/5). TK kala itu datang ke lokasi untuk menemui rekannya yang telah tiba lebih dahulu.

Saat tiba di lokasi, TK lalu menghampiri salah satu staf Karen's Diner. TK kemudian melakukan pemukulan setelah tidak terima tidak dipanggil dokter.

ADVERTISEMENT SCROLL TO RESUME CONTENT

""Beliau (TK) merasa tersinggung karena dipanggil nama saja (tidak dipanggil dokter),"" kata manajemen Karen's Dinner Bali, Pricilla Kathrine, kepada wartawan.

Pricilla mengaku prihatin terhadap sikap TK. Dia mengingatkan konsep layanan 'judes' yang menjadi ciri khas Karen's Dinner.

""Kami hanya mengingatkan kembali kepada costumer yang datang atau yang berniat datang, rule Karen's Diner seperti apa. Jadi supaya tidak terjadi hal seperti ini (keributan berujung penganiayaan),"" katanya.

Simak selengkapnya di sini.",https://news.detik.com/berita/d-6726491/heboh-dokter-ribut-di-karens-diner-bali-manajemen-buka-suara
Cerita Manajer Timnas U-22 Kombes Sumardji Kena Pukul Ofisial Timnas Thailand,2023-05-17 13:03:21,"['Audrey Santoso', 'Https', 'Www.Facebook.Com Detikcom', 'Audrey Santoso -']","Sosok Kombes Sumardji menjadi sorotan lantaran pemukulan yang dialaminya saat laga pertandingan final sepakbola U-22 Sea Games 2023 di Phnom Penh, Kamboja. Perwira menengah Polri ini dipukul ofisial Timnas Thailand saat tensi pertandingan memanas.

""Biasa, anu, dinamika di lapangan kalau pertandingan dengan tensi tinggi, biasa itu. Kemarin kena pukul di rahang, waktu saya melerai, langsung dipukul sama ofisialnya situ ya,"" kata Sumardji kepada detikcom, Rabu (17/5/2023).

Dia mengatakan pemukulan itu dialaminya saat hendak melerai pemain yang bertikai. ""Ada pemain kita mau dipukul, saya mengamankan, akhirnya saya yang dipukul,"" sambung Sumardji.

ADVERTISEMENT SCROLL TO RESUME CONTENT

Polisi yang kini berdinas sebagai auditor Kepolisian Madya Tingkat III di Itwasum Polri ini mengatakan awal terjun ke dunia sepakbola pada 2015. Sebelumnya, dunia sepakbola bagi Sumardji sebatas pertandingan antarkampung (tarkam).

""Saya biasa di kampung main sepakbola, tapi kan kalo di kampung main tarkam lah,"" ucap lulusan SMA Diponegoro Nganjuk ini.

Sebelumnya, final cabang sepakbola SEA Games 2023 menghadirkan duel Indonesia versus Thailand. Laga berlangsung di Olympic Stadium, Selasa (16/5) WIB, malam.

Indonesia berhasil mengakhiri pertandingan dengan medali emas. Garuda Muda menjadi juara setelah menaklukkan Thailand 5-2 dalam laga yang berlangsung 120 menit.

Duel Indonesia melawan Thailand diwarnai tensi panas. Belasan kartu keluar dari kantong wasit, termasuk tiga kartu merah untuk Thailand dan satu untuk Indonesia.

Tensi panas merambat hingga ke pinggir lapangan. Keributan pecah saat Indonesia mencetak gol ketiga pada awal babak tambahan.

Ofisial Thailand merangsek ke area bench Indonesia dan menyerang dengan membabi-buta. Sumardji jadi salah satu anggota tim Indonesia yang disasar The Elephant Warriors.

Lihat Video 'Aksi Brutal Ofisial Thailand Berujung Permintaan Maaf Sambil Nangis':



[Gambas:Video 20detik]





",https://news.detik.com/berita/d-6724870/cerita-manajer-timnas-u-22-kombes-sumardji-kena-pukul-ofisial-timnas-thailand
Lion Air Tepis Pesawat yang Ditumpangi Anis Komnas HAM Hilang di Flightradar,2023-05-18 21:23:49,"['Arief Ikhsanudin', 'Https', 'Www.Facebook.Com Detikcom', 'Arief Ikhsanudin -']","Komisioner Komnas HAM Anis Hidayat menyebut pesawat JT882 rute Makassar-Kendari sempat hilang selama 10 menit dari situs Flightradar24. Pihak Lion Air menepis anggapan tersebut.

""Operasional penerbangan aman dan normal (tidak hilang),"" kata Corporate Communications Strategic of Lion Air, Danang Mandala Prihantoro, dalam keterangannya, Kamis (18/5/2023).

Danang pun mengirimkan laporan dari situs tersebut. Di situs itu terekam pesawat JT992 sampai di Kendari dari Makassar.

ADVERTISEMENT SCROLL TO RESUME CONTENT

Kemudian, soal pesawat kembali naik ke jalur penerbangan atau go around merupakan hal wajar. Ada alasan mengapa pilot memutuskan go around.

""Penjelasan go around adalah hal wajar. Tidak bisa mendarat, karena kondisi cuaca tidak mendukung,"" ucapnya.

Danang menyebut pembatalan proses mendarat didasari atas kondisi cuaca yang mengakibatkan pesawat melaju terlalu cepat.

""Penerbangan JT-992 mengalami pembatalan proses pendaratan pesawat dan mengudara kembali ke jalur penerbangan (go around). Hal ini dilakukan dalam situasi ketika kondisi cuaca yang tidak mendukung, berupa kecepatan angin dan arah angin yang berubah secara mendadak mengakibatkan kecepatan pesawat melebihi batas ketentuan untuk mendarat, sesuai dengan persyaratan operasional dan standar keselamatan penerbangan,"" kata Danang.

Menurut Danang, pilot memutuskan untuk kembali ke jalur penerbangan setelah mendengar informasi cuaca aktual. Sehingga demi keselamatan, keputusan itu diambil.

""Keputusan pilot untuk melakukan go around tersebut telah diambil dengan pertimbangan keselamatan dan keamanan penerbangan yang berdasarkan pada informasi cuaca aktual yang terpantau melalui radar di dalam pesawat,"" katanya.

""Pilot dan awak kabin juga memberikan informasi yang diperlukan kepada seluruh penumpang mengenai kondisi dimaksud,"" katanya.

Disebut Sempat Hilang di Flightradar24.

Sebelumnya, Anis menceritakan pernyataan driver yang menjemput rombongan Komnas HAM di Kendari. Driver itu mengatakan pesawat yang mereka tumpangi sempat hilang dari pantauan Flightradar24.

""Driver yang menjemput kami di Bandara Kendari mengatakan bahwa 'Pesawat yang Ibu tumpangi sempat hilang dari radar selama 10-an menit',"" kata Anis.

""Sepasang penumpang suami istri berpegangan tangan sambil berdoa. Saat sudah makin tenang, saya menunggu di terminal kedatangan. Saya hampiri Kapten JT 0992, Kapten Nikson Aris, saya salamin dan sampaikan terima kasih. Sayang, kami tidak sempat berfoto bersama,"" imbuhnya.",https://news.detik.com/berita/d-6727226/lion-air-tepis-pesawat-yang-ditumpangi-anis-komnas-ham-hilang-di-flightradar
Penjelasan Lion Air soal Pesawat Anis Komnas HAM Naik Lagi Saat Mau Mendarat,2023-05-18 20:57:27,"['Arief Ikhsanudin', 'Https', 'Www.Facebook.Com Detikcom', 'Arief Ikhsanudin -']","Pesawat yang ditumpangi oleh Komisioner Komnas HAM, Anis Hidayah, tiba-tiba kembali naik saat hendak mendarat. Lion Air menjelaskan kejadian yang dialami oleh pesawat dengan nomor penerbangan JT-992 rute Makassar-Kendari.

Corporate Communications Strategic of Lion Air, Danang Mandala Prihantoro, menyebut bahwa pesawat membawa tujuh awak kabin, dan total 217 penumpang. Penumpang terdiri dari 211 dewasa, dua anak-anak, dan empat balita.

""Penerbangan JT-992 mengalami pembatalan proses pendaratan pesawat dan mengudara kembali ke jalur penerbangan (go around). Hal ini dilakukan dalam situasi ketika kondisi cuaca yang tidak mendukung, berupa kecepatan angin dan arah angin yang berubah secara mendadak mengakibatkan kecepatan pesawat melebihi batas ketentuan untuk mendarat, sesuai dengan persyaratan operasional dan standar keselamatan penerbangan,"" kata Danang, dalam keterangannya, Kamis (18/5/2023).

ADVERTISEMENT SCROLL TO RESUME CONTENT

Danang menyebut, pilot memutuskan untuk kembali ke jalur penerbangan setelah mendengar informasi cuaca aktual. Sehingga demi keselamatan, keputusan itu diambil.

""Keputusan pilot untuk melakukan go around tersebut telah diambil dengan pertimbangan keselamatan dan keamanan penerbangan yang berdasarkan pada informasi cuaca aktual yang terpantau melalui radar di dalam pesawat,"" katanya.

""Pilot dan awak kabin juga memberikan informasi yang diperlukan kepada seluruh penumpang mengenai kondisi dimaksud,"" katanya.

Selama proses go around, pilot tetap berkoordinasi dengan petugas darat dan pengatur lalu lintas udara utuk memastikan langkah-langkah yang tepat diambil demi mengutamakan keamanan penerbangan.

""Setelah kondisi cuaca membaik dan memenuhi persyaratan keselamatan penerbangan, pilot berhasil mendaratkan pesawat secara normal di Bandar Udara Haluoleo Kendari di Konawe Selatan pukul 13.25 WITA,"" katanya.

""Lion Air memberikan apresiasi kepada pilot dan awak pesawat yang telah menjalankan tugas mereka dengan profesional dalam menghadapi situasi pada penerbangan JT-992,"" katanya.

Suasa Tegang di Dalam Kabin

Peristiwa itu dicerita oleh Anis Hidayah lewat akun Twitternya, Kamis (18/5/2023). Anis sudah mengizinkan cuitannya dikutip.

""Alhamdulillah bisa mendarat dengan selamat. Terima kasih Kapten Nikson Aris, kapten di penerbangan JT 0992 dari Makassar-Kendari. Ketika pesawat sudah mau mendarat, nyaris sampai landasan, tiba-tiba naik lagi. Diumumkan bahwa karena ada tekanan angin di ekor pesawat yang melebihi batas maksimal bisa berbahaya bablas,"" kata Anis.

Anis menyebut pesawat yang ditumpanginya naik dan berputar-putar lagi selama 20 menit sebelum mendarat. Dia juga sempat bertanya kepada pramugari soal risiko jika pesawat dipaksakan mendarat saat terdapat tekanan udara melebihi batas di bagian ekor.

""Pesawat naik lagi sekitar 20 menit, berputar. Lalu kemudian bisa mendarat. Saat mau turun saya tanya pada pramugari tentang risiko kalau tetap mendarat, katanya bisa bablas, tergelincir atau kemungkinan lain,"" ujar Anis.

Anis menyebut dirinya merapal selawat ketika pesawat naik lagi. Dia dan beberapa anggota Komnas HAM lainnya berdoa selama perjalanan udara yang berlangsung menegangkan tersebut.

""Saat pesawat naik lagi, saya merapal berbagai selawat, mulai asghil, nariyah, dan lain-lain. Baca Alfatihah dan doa-doa lainnya. Saat pengumuman berkumandang, saya melirik teman sesama komisioner Komnas HAM yang di belakang saya. Lalu kami sama-sama berdoa dengan khusyuk dengan memejamkan mata,"" kata dia.",https://news.detik.com/berita/d-6727208/penjelasan-lion-air-soal-pesawat-anis-komnas-ham-naik-lagi-saat-mau-mendarat
Kata Alvin Lie soal Pesawat Anis Komnas HAM Sempat Tak Muncul di Flightradar,2023-05-18 19:44:18,"['Anggi Muliawati', 'Https', 'Www.Facebook.Com Detikcom', 'Anggi Muliawati -']","Pesawat JT992 rute Makassar-Kendari yang ditumpangi komisioner Komnas HAM Anis Hidayah dan rombongan tiba-tiba naik lagi sesaat hendak mendarat, serta sempat hilang 10 menit dari situs Flightradar24. Pengamat penerbangan Alvin Lie mengatakan peristiwa itu merupakan hal yang wajar terjadi.

""Tidak ada yang luar biasa. FR (Flightradar) bukan alat navigasi standar, hanya alat bantu untuk monitor,"" kata Alvin Lie saat dihubungi, Kamis (18/5/2023).

Menurut Alvin, pilot dapat membatalkan pendaratan karena berbagai hal, seperti kondisi angin yang terlalu kencang atau adanya pesawat lain di runway.

ADVERTISEMENT SCROLL TO RESUME CONTENT

""Data pesawat tidak muncul di FR juga bukan sesuatu yang luar biasa,"" ucapnya.

Alvin menyebut pergerakan pesawat dapat dipantau melalui pemancar Automatic Dependent Surveillance- Broadcast (ADS-B). Menurutnya, pesawat tidak tampak di Flightradar bukan berarti hilang.

""Menggunakan pemancar ADS-B untuk memantau pergerakan pesawat. Ketika pesawat sedang berada di posisi yang tidak terjangkau stasiun ABSB, pesawat bisa tidak tampak di FR, bukan berarti pesawat tersebut hilang,"" ujarnya.

Dia mengatakan, jika pesawat itu tidak terjangkau di radar ATC (kontrol lalu lintas udara), patut dipertanyakan. Sebab, kata dia, pesawat hanya dipantau oleh ADS-B.

""Baru heboh jika pesawat tidak muncul di radar ATC/AirNav. Pesawat ini dipantau murni menggunakan sinyal ADS-B. Tidak ada sinyal radar (squawk not available),"" imbuhnya.

Sebelumnya, pesawat JT992 rute Makassar-Kendari yang ditumpangi komisioner Komnas HAM Anis Hidayah dan rombongan tiba-tiba naik lagi sesaat hendak mendarat. Anis menyebut driver yang menjemput rombongan Komnas HAM menyebut pesawat tersebut sempat hilang 10 menit dari situs Flightradar24.

Anis menyebut, berdasarkan pengumuman, pesawat JT992 itu mengalami tekanan udara di bagian ekor yang melebihi batas kemudian berputar-putar di udara sekitar 20 menit. Setelah mendarat, para penumpang, kata Anis, saling berbagi cerita tentang kepanikan saat pesawat sempat gagal mendarat.

""Saat sudah mendarat dan kami turun menuju terminal, para penumpang pesawat saling berbagi cerita dan bagaimana paniknya mereka saat-saat pesawat gagal mendarat,"" kata Anis dalam cuitannya di Twitter, Kamis (18/5). Anis sudah mengizinkan cuitan ini dikutip.

Anis kemudian menceritakan pernyataan driver yang menjemput rombongan mereka di Kendari. Driver itu mengatakan pesawat yang mereka tumpangi sempat hilang dari pantauan Flightradar24.

""Driver yang menjemput kami di Bandara Kendari mengatakan bahwa 'Pesawat yang Ibu tumpangi sempat hilang dari radar selama 10-an menit',"" kata Anis.

""Sepasang penumpang suami istri berpegangan tangan sambil berdoa. Saat sudah makin tenang, saya menunggu di terminal kedatangan. Saya hampiri Kapten JT 0992, Kapten Nikson Aris, saya salamin dan sampaikan terima kasih. Sayang, kami tidak sempat berfoto bersama,"" imbuhnya.

Lihat juga Video 'Penampakan Pesawat TNI AU Tergelincir di Bandara Timika':



[Gambas:Video 20detik]





",https://news.detik.com/berita/d-6727120/kata-alvin-lie-soal-pesawat-anis-komnas-ham-sempat-tak-muncul-di-flightradar
Ancang-ancang Polisi Usut Dugaan Penipuan Usai War Tiket Coldplay,2023-05-18 21:21:10,"['Yogi Ernes', 'Https', 'Www.Facebook.Com Detikcom', 'Yogi Ernes -']","Jagat maya dihebohkan dengan war tiket atau pembelian tiket pre-sale konser grup band Coldplay. Polisi menemukan indikasi kasus penipuan penjualan tiket online Coldplay.

""Kami mendengar adanya dugaan penipuan penjualan tiket online Coldplay melalui hasil patroli siber,"" kata Dirtipidsiber Polri Brigjen Adi Vivid kepada wartawan, Kamis (18/5/2023).

Diketahui, konser Coldplay akan digelar pada 15 November. Penjualan tiket secara umum dibuka pada Jumat (19/5) besok.

ADVERTISEMENT SCROLL TO RESUME CONTENT

Di media sosial, khususnya Twitter, ramai penipuan tiket Coldplay. Beberapa akun bahkan mengaku telah tertipu puluhan juta.

Dirtipidsiber Polri Brigjen Adi Vivid (Foto: Andhika Prasetia/detikcom)

Vivid mengatakan pihak kepolisian masih menyelidiki dugaan pelaku penipuan tersebut.

""Atas temuan tersebut, kita sedang melakukan penyelidikan untuk mendalami dugaan penipuan yang terjadi,"" katanya.

Polri juga meminta masyarakat bersikap rasional dan hati-hati di tengah proses penjualan tiket online konser Coldplay. Dia juga menyatakan Polri terbuka menerima laporan bagi masyarakat yang merasa telah menjadi korban penipuan.

""Kami juga mengimbau, jika masyarakat menjadi korban, segera membuat laporan resmi agar segera bisa kami tangani secara maksimal,"" tutur Vivid.

Simak selengkapnya di halaman selanjutnya",https://news.detik.com/berita/d-6727224/ancang-ancang-polisi-usut-dugaan-penipuan-usai-war-tiket-coldplay
"Mahfud, Puan, hingga AHY Hadiri Halalbihalal MUI di Jakarta",2023-05-18 21:12:30,"['Rizky Adha Mahendra', 'Https', 'Www.Facebook.Com Detikcom', 'Rizky Adha Mahendra -']","Sejumlah pejabat menghadiri acara halalbihalal Majelis Ulama Indonesia (MUI) di Hotel Bidakara, Jakarta. Mereka tiba di waktu yang berbeda.

Pantauan detikcom di lokasi, Kamis (18/5/2023), yang pertama datang yaitu Menko Polhukam Mahfud Md. Dia datang bersama Menko PMK, Muhadjir Effendy.

Kemudian datang juga Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno. Lalu datang Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY). Terakhir, turut hadir Ketua DPR RI Puan Maharani.

ADVERTISEMENT SCROLL TO RESUME CONTENT

AHY dan Sandiaga Uno di acara acara halalbihalal MUI di Hotel Bidakara, Jakarta (Foto: Rizky/detikcom)

Setibanya di lokasi, mereka langsung menuju meja yang telah disediakan. Mereka tidak mengucapkan sepatah katapun begitu tiba.

Wakil Ketua Umum MUI, KH Marsudi Syuhud dalam sambutannya mengatakan bahwa kumpul-kumpul merupakan budaya masyarakat Indonesia. Setiap momen, biasanya selalu ada acara kumpul-kumpul.

""Indonesia punya budaya kumpal-kumpul. Budaya ini seperti halalbihalal setiap Idul Fitri, kumpul lagi, ada Agustusan, kumpul lagi, ada acara kenegaraan,"" katanya.",https://news.detik.com/berita/d-6727217/mahfud-puan-hingga-ahy-hadiri-halalbihalal-mui-di-jakarta
